entropy_mean,entropy_std,p_collapsed,p_uncollapsed,p_walkable_collapsed,p_entropy_1,p_entropy_2,p_entropy_3,entropy_gradient_mean,entropy_gradient_max,should_continue
26.2,3.7428450260315196,0.06666666666666667,14.933333333333334,0.0,0.0,0.0,0.0,0.7095238095238096,18.0,1
25.92,4.4274698066603335,0.13333333333333333,14.866666666666667,0.0,0.0,0.0,0.0,0.8380952380952381,18.0,1
25.253333333333334,5.991312228737726,0.2,14.8,0.0,0.0,0.2,0.13333333333333333,1.2571428571428571,24.0,1
24.844444444444445,6.623713478624629,0.26666666666666666,14.733333333333333,0.25,0.0,0.26666666666666666,0.13333333333333333,1.3857142857142857,24.0,1
24.435555555555556,7.1775314715221805,0.3333333333333333,14.666666666666666,0.4,0.0,0.3333333333333333,0.13333333333333333,1.5142857142857142,23.0,1
24.08888888888889,7.542537805222449,0.4,14.6,0.5,0.0,0.3333333333333333,0.13333333333333333,1.5904761904761904,23.0,1
23.813333333333333,7.80146994696085,0.4666666666666667,14.533333333333333,0.5714285714285714,0.0,0.3333333333333333,0.13333333333333333,1.6238095238095238,22.0,1
23.702222222222222,7.961308906591481,0.5333333333333333,14.2,0.5,0.26666666666666666,0.0,0.13333333333333333,1.7047619047619047,22.0,1
23.697777777777777,7.97424991634919,0.6,14.2,0.5555555555555556,0.2,0.0,0.13333333333333333,1.7047619047619047,22.0,1
23.69333333333333,7.987167485688806,0.6666666666666666,14.2,0.6,0.13333333333333333,0.0,0.13333333333333333,1.7047619047619047,22.0,1
23.48,8.127363929617305,0.7333333333333333,14.2,0.6363636363636364,0.06666666666666667,0.0,0.13333333333333333,1.7047619047619047,22.0,1
23.275555555555556,8.244301885559924,0.8,14.2,0.6666666666666666,0.0,0.0,0.13333333333333333,1.7047619047619047,22.0,1
23.142222222222223,8.413599807953494,0.8666666666666667,14.133333333333333,0.6923076923076923,0.0,0.0,0.2,1.7047619047619047,22.0,1
22.786666666666665,8.780726368333974,0.9333333333333333,14.066666666666666,0.6428571428571429,0.0,0.06666666666666667,0.26666666666666666,1.7952380952380953,22.0,1
22.733333333333334,8.879439421745296,1.0,14.0,0.6666666666666666,0.0,0.06666666666666667,0.2,1.8,22.0,1
22.444444444444443,9.105689443799058,1.0666666666666667,13.933333333333334,0.625,0.0,0.0,0.3333333333333333,1.8761904761904762,24.0,1
